proxy,position,speed
HTTP://123.169.126.11:9999,山东省淄博市  电信,0.7秒
HTTP://175.43.57.13:9999,福建省泉州市  联通,1.0秒
HTTP://183.166.110.175:9999,安徽省淮南市  电信,0.6秒
HTTP://171.13.202.246:9999,河南省鹤壁市  电信,3秒
HTTP://123.169.124.175:9999,山东省淄博市  电信,2秒
HTTP://163.204.240.154:9999,广东省汕尾市  联通,3秒
HTTP://123.169.164.241:9999,中国 山东省 德州市 电信,2秒
HTTP://125.110.112.46:9000,浙江省温州市  电信,3秒
HTTP://110.243.30.88:9999,河北省唐山市  联通,2秒
HTTP://163.204.247.176:9999,广东省汕尾市  联通,2秒
HTTP://117.69.152.76:9999,安徽省黄山市  电信,0.9秒
HTTP://182.32.163.195:9999,山东省德州市  电信,1秒
HTTP://1.197.203.143:9999,河南省济源市  电信,1秒
HTTP://110.243.13.239:9999,河北省唐山市  联通,2秒
HTTP://1.198.73.36:9999,河南省济源市  电信,1秒
HTTP://60.162.80.122:9000,浙江省台州市  电信,2秒
HTTP://183.166.102.216:9999,安徽省淮南市  电信,0.4秒
HTTP://171.35.161.18:9999,江西省宜春市  联通,3秒
HTTP://112.14.47.6:52024,浙江省宁波市  移动,2秒
HTTP://113.194.28.13:9999,江西省新余市  联通,3秒
HTTP://113.195.225.171:9999,江西省新余市  联通,0.4秒
HTTP://123.163.122.32:9999,河南省鹤壁市  电信,1秒
HTTP://125.108.86.222:9000,浙江省温州市  电信,2秒
HTTP://116.113.27.170:50035,内蒙古自治区呼和浩特市  联通,2秒
HTTP://114.101.42.138:65309,安徽省蚌埠市  电信,3秒
HTTP://124.65.136.2:8060,北京市北京市  联通,2秒
HTTP://121.232.199.187:9000,中国 江苏省 镇江市 电信,3秒
HTTP://125.108.71.254:9000,浙江省温州市  电信,2秒
HTTP://123.169.118.218:9999,山东省淄博市  电信,3秒
HTTP://36.248.133.194:9999,福建省宁德市  联通,0.5秒
HTTP://117.88.5.91:3000,江苏省南京市  电信,1秒
HTTP://183.166.97.60:9999,安徽省淮南市  电信,1秒
HTTP://114.239.3.226:9999,江苏省宿迁市  电信,3秒
HTTP://183.166.111.196:9999,安徽省淮南市  电信,1秒
HTTP://182.149.83.140:9999,四川省成都市  电信,2秒
HTTP://223.242.224.133:9999,安徽省淮南市  电信,1秒
HTTP://123.169.164.125:9999,山东省德州市  电信,3秒
HTTP://125.73.220.18:49128,广西壮族自治区钦州市  电信,1秒
HTTP://175.44.108.7:9999,福建省南平市  联通,1.0秒
HTTP://1.198.108.46:9999,河南省鹤壁市  电信,0.6秒
HTTP://223.242.224.217:9999,安徽省淮南市  电信,2秒
HTTP://1.198.72.232:9999,河南省济源市  电信,3秒
HTTP://183.166.21.118:9999,安徽省淮南市  电信,0.5秒
HTTP://219.159.38.204:56210,内蒙古自治区赤峰市  联通,1秒
HTTP://119.176.175.168:9999,山东省临沂市  联通,0.4秒
HTTP://103.38.41.90:1081,湖南省郴州市 郴州市蓝冰计算机服务有限公司 联通,1秒
HTTP://136.228.128.164:53052,柬埔寨 金边市  ,2秒
HTTP://202.109.157.60:9000,江西省赣州市  电信,2秒
HTTP://112.247.172.100:8060,山东省威海市  联通,3秒
HTTP://110.243.4.101:9999,河北省唐山市  联通,1秒
HTTP://114.239.146.39:9999,江苏省宿迁市  电信,1秒
HTTP://163.204.244.209:9999,广东省汕尾市  联通,1秒
HTTP://125.108.90.25:9000,浙江省温州市  电信,1秒
HTTP://49.89.87.214:9999,江苏省宿迁市  电信,3秒
HTTP://117.158.65.216:50670,河南省南阳市  移动,1秒
HTTP://114.234.82.104:9000,江苏省徐州市  电信,2秒
HTTP://60.13.42.97:9999,甘肃省平凉市  联通,3秒
HTTP://163.204.246.119:9999,广东省汕尾市  联通,1秒
HTTP://1.197.203.181:9999,河南省济源市  电信,2秒
HTTP://124.200.36.118:40188,北京市北京市  鹏博士宽带,0.6秒
HTTP://110.243.7.67:9999,河北省唐山市  联通,1秒
HTTP://47.104.255.144:8118,山东省青岛市  阿里云,3秒
HTTP://175.43.57.40:9999,福建省泉州市  联通,3秒
HTTP://125.108.109.162:9000,浙江省温州市  电信,2秒
HTTP://58.22.177.242:9999,福建省南平市  联通,2秒
HTTP://171.13.203.160:9999,河南省鹤壁市  电信,3秒
HTTP://60.13.42.2:9999,甘肃省平凉市  联通,3秒
HTTP://47.94.136.5:8118,北京市北京市  阿里云,1秒
HTTP://1.198.109.241:9999,河南省鹤壁市  电信,3秒
HTTP://219.159.38.207:56210,内蒙古自治区赤峰市  联通,0.3秒
HTTP://125.108.78.62:9000,浙江省温州市  电信,3秒
HTTP://171.13.136.76:9999,河南省商丘市  电信,2秒
HTTP://219.159.38.206:56210,内蒙古自治区赤峰市  联通,1秒
HTTP://222.74.65.67:56210,内蒙古自治区赤峰市  电信,3秒
HTTP://36.248.132.193:9999,福建省宁德市  联通,2秒
HTTP://171.13.103.155:9999,河南省鹤壁市  电信,0.5秒
HTTP://125.108.79.122:9000,浙江省温州市  电信,1秒
HTTP://36.248.133.43:9999,福建省宁德市  联通,1秒
HTTP://220.249.149.147:9999,福建省南平市  联通,2秒
HTTP://183.166.21.130:9999,安徽省淮南市  电信,0.8秒
HTTP://183.166.132.176:9999,安徽省黄山市  电信,1秒
HTTP://113.195.155.76:9999,江西省抚州市  联通,3秒
HTTP://58.253.154.187:9999,广东省揭阳市  联通,0.6秒
HTTP://163.204.247.28:9999,广东省汕尾市  联通,3秒
HTTP://113.195.16.14:9999,江西省九江市  联通,3秒
HTTP://163.204.243.207:9999,广东省汕尾市  联通,2秒
HTTP://115.218.0.93:9000,浙江省温州市  电信,2秒
HTTP://163.204.245.82:9999,广东省汕尾市  联通,2秒
HTTP://183.166.96.28:9999,安徽省淮南市  电信,2秒
HTTP://110.243.5.197:9999,河北省唐山市  联通,2秒
HTTP://120.83.107.243:9999,广东省揭阳市  联通,0.6秒
HTTP://123.101.212.105:9999,河南省鹤壁市  电信,3秒
HTTP://1.197.203.194:9999,河南省济源市  电信,1秒
HTTP://60.13.42.56:9999,甘肃省平凉市  联通,3秒
HTTP://113.195.153.25:9999,江西省抚州市  联通,3秒
HTTP://106.46.97.169:9999,河南省商丘市  电信,1秒
HTTP://171.13.103.221:9999,河南省鹤壁市  电信,3秒
HTTP://110.243.17.190:9999,河北省唐山市  联通,1秒
HTTP://163.204.245.93:9999,广东省汕尾市  联通,1.0秒
HTTP://61.178.149.237:59042,甘肃省白银市  电信,0.4秒
HTTP://58.22.177.232:9999,福建省南平市  联通,1秒
HTTP://113.121.65.183:9999,山东省淄博市  电信,3秒
HTTP://114.99.22.91:1133,安徽省铜陵市  电信,3秒
HTTP://171.35.143.136:9999,江西省抚州市  联通,3秒
HTTP://113.194.30.124:9999,江西省新余市  联通,2秒
HTTP://113.128.123.65:9999,山东省济南市  电信,2秒
HTTP://182.34.37.137:9999,山东省烟台市  电信,3秒
HTTP://124.65.136.2:8060,北京市北京市  联通,1秒
HTTP://121.232.148.141:9000,中国 江苏省 镇江市 电信,3秒
HTTP://120.83.97.240:9999,广东省揭阳市  联通,2秒
HTTP://144.123.71.220:9999,山东省济南市  电信,1秒
HTTP://125.108.92.71:9000,浙江省温州市  电信,1秒
HTTP://120.26.199.103:8118,中国 浙江省 杭州市 阿里云,0.6秒
HTTP://110.243.17.88:9999,河北省唐山市  联通,0.7秒
HTTP://171.13.136.178:9999,河南省商丘市  电信,1秒
HTTP://112.111.77.68:9999,福建省南平市  联通,2秒
HTTP://113.121.47.148:9999,山东省烟台市  电信,1秒
HTTP://183.166.102.70:9999,安徽省淮南市  电信,1秒
HTTP://114.239.151.110:9999,江苏省宿迁市  电信,2秒
HTTP://113.124.94.17:9999,山东省烟台市  电信,2秒
HTTP://223.242.225.80:9999,安徽省淮南市  电信,0.7秒
HTTP://114.230.86.7:9999,江苏省扬州市  电信,2秒
HTTP://171.11.179.250:9999,河南省济源市  电信,0.7秒
HTTP://110.243.26.115:9999,河北省唐山市  联通,3秒
HTTP://175.44.109.248:9999,福建省南平市  联通,2秒
HTTP://175.44.153.32:9000,中国 福建省 三明市 联通,1秒
HTTP://175.42.68.89:9999,福建省宁德市  联通,0.9秒
HTTP://163.204.247.245:9999,广东省汕尾市  联通,2秒
HTTP://163.204.247.28:9999,广东省汕尾市  联通,1秒
HTTP://129.28.183.30:8118,重庆市重庆市  腾讯云,1.0秒
HTTP://175.42.123.197:9999,福建省宁德市  联通,3秒
HTTP://175.42.123.56:9999,福建省宁德市  联通,1秒
HTTP://182.35.86.254:9999,山东省泰安市  电信,2秒
HTTP://223.199.28.133:9999,海南省文昌市  电信,1秒
HTTP://125.108.121.129:9000,浙江省温州市  电信,1.0秒
HTTP://223.199.17.173:9999,海南省文昌市  电信,0.4秒
HTTP://182.35.83.158:9999,山东省泰安市  电信,2秒
HTTP://113.194.50.14:9999,江西省抚州市  联通,3秒
HTTP://36.6.169.108:65309,安徽省蚌埠市  电信,2秒
HTTP://183.166.96.20:9999,安徽省淮南市  电信,1秒
HTTP://117.64.225.122:1133,安徽省合肥市  电信,3秒
HTTP://125.108.73.202:9000,浙江省温州市  电信,3秒
HTTP://123.163.122.30:9999,河南省鹤壁市  电信,3秒
HTTP://113.194.28.196:9999,江西省新余市  联通,3秒
HTTP://125.108.84.223:9000,浙江省温州市  电信,0.8秒
HTTP://121.13.252.60:41564,广东省东莞市  电信,2秒
HTTP://117.88.5.116:3000,江苏省南京市  电信,1秒
HTTP://36.6.169.108:65309,安徽省蚌埠市  电信,2秒
HTTP://182.92.220.212:8080,北京市北京市  阿里云,1秒
HTTP://113.195.205.11:9999,江西省抚州市  联通,3秒
HTTP://144.123.71.3:9999,山东省济南市  电信,1秒
HTTP://175.44.109.74:9999,福建省南平市  联通,2秒
HTTP://118.251.89.71:3128,湖南省株洲市  电信,2秒
HTTP://123.169.36.81:9999,山东省烟台市  电信,1秒
HTTP://36.248.132.47:9999,福建省宁德市  联通,3秒
HTTP://121.13.252.62:41564,广东省东莞市  电信,1秒
HTTP://36.250.156.204:9999,福建省宁德市  联通,1秒
HTTP://175.42.169.88:9000,中国 福建省 三明市 联通,2秒
HTTP://112.111.77.30:9999,福建省南平市  联通,3秒
HTTP://36.248.132.162:9999,福建省宁德市  联通,3秒
HTTP://171.11.33.129:9999,河南省鹤壁市  电信,2秒
HTTP://175.42.123.97:9999,福建省宁德市  联通,3秒
HTTP://1.197.204.233:9999,河南省济源市  电信,2秒
HTTP://163.204.95.6:9999,广东省揭阳市  联通,0.9秒
HTTP://183.166.110.96:9999,安徽省淮南市  电信,3秒
HTTP://125.108.113.177:9000,浙江省温州市  电信,1秒
HTTP://222.89.32.140:9999,河南省济源市  电信,1秒
HTTP://125.108.118.73:9000,浙江省温州市  电信,0.5秒
HTTP://125.108.94.224:9000,浙江省温州市  电信,3秒
HTTP://163.204.243.66:9999,广东省汕尾市  联通,3秒
HTTP://175.43.154.58:9999,福建省泉州市  联通,0.8秒
HTTP://183.166.20.179:9999,安徽省淮南市  电信,3秒
HTTP://183.166.21.136:9999,安徽省淮南市  电信,0.5秒
HTTP://183.166.111.238:9999,安徽省淮南市  电信,2秒
HTTP://175.44.148.86:9000,福建省三明市  联通,2秒
HTTP://175.44.187.248:9000,中国 福建省 三明市 联通,3秒
HTTP://36.250.156.72:9999,福建省宁德市  联通,2秒
HTTP://1.197.204.80:9999,河南省济源市  电信,0.9秒
HTTP://163.204.245.106:9999,广东省汕尾市  联通,2秒
HTTP://113.195.225.169:9999,江西省新余市  联通,1秒
HTTP://220.168.52.245:40406,湖南省长沙市  电信,3秒
HTTP://123.169.126.11:9999,山东省淄博市  电信,0.7秒
HTTP://118.113.247.35:9999,四川省成都市  电信,3秒
HTTP://183.166.102.182:9999,安徽省淮南市  电信,3秒
HTTP://125.108.100.9:9000,浙江省温州市  电信,3秒
HTTP://112.84.99.202:9999,江苏省徐州市  联通,1秒
HTTP://182.35.87.103:9999,山东省泰安市  电信,3秒
HTTP://175.42.68.95:9999,福建省宁德市  联通,1秒
HTTP://220.176.66.84:9000,江西省萍乡市  电信,2秒
HTTP://117.85.166.36:8118,江苏省无锡市  电信,3秒
HTTP://163.204.244.89:9999,广东省汕尾市  联通,2秒
HTTP://125.108.69.213:9000,浙江省温州市  电信,2秒
HTTP://171.35.221.173:9999,江西省新余市  联通,2秒
HTTP://112.111.77.61:9999,福建省南平市  联通,2秒
HTTP://171.35.160.141:9999,江西省宜春市  联通,2秒
HTTP://112.111.77.39:9999,福建省南平市  联通,1秒
HTTP://202.109.157.66:9000,江西省赣州市  电信,2秒
HTTP://163.204.245.201:9999,广东省汕尾市  联通,0.9秒
HTTP://125.108.113.185:9000,浙江省温州市  电信,1.0秒
HTTP://182.35.80.120:9999,山东省泰安市  电信,1秒
HTTP://122.4.49.157:9999,山东省济南市  电信,0.9秒
HTTP://122.5.179.52:9999,山东省德州市  电信,1秒
HTTP://115.29.199.16:8118,浙江省杭州市 阿里云计算有限公司 阿里云,0.3秒
HTTP://106.4.60.190:9000,中国 江西省 抚州市 电信,2秒
HTTP://115.159.154.79:1080,上海市上海市 腾讯云计算（北京）有限责任公司 腾讯云,0.5秒
HTTP://163.204.245.140:9999,广东省汕尾市  联通,3秒
HTTP://175.42.188.221:9000,中国 福建省 三明市 联通,3秒
HTTP://115.218.210.119:9000,浙江省温州市  电信,2秒
HTTP://171.11.178.168:9999,河南省济源市  电信,1秒
HTTP://36.248.132.10:9999,福建省宁德市  联通,0.9秒
HTTP://123.169.168.99:9999,山东省德州市  电信,2秒
HTTP://1.198.111.82:9999,河南省鹤壁市  电信,2秒
HTTP://117.69.12.106:9999,安徽省淮南市  电信,1秒
HTTP://110.243.6.110:9999,河北省唐山市  联通,2秒
HTTP://118.112.195.59:9999,四川省成都市  电信,2秒
HTTP://223.199.25.133:9999,海南省文昌市  电信,3秒
HTTP://182.32.162.217:9999,山东省德州市  电信,3秒
HTTP://125.108.103.61:9000,浙江省温州市  电信,2秒
HTTP://114.226.162.15:9999,江苏省常州市  电信,0.7秒
HTTP://220.176.65.81:9000,江西省萍乡市  电信,0.7秒
HTTP://118.112.195.72:9999,四川省成都市  电信,2秒
HTTP://49.70.95.12:9999,江苏省宿迁市  电信,2秒
HTTP://118.112.194.3:9999,四川省成都市  电信,2秒
HTTP://113.195.17.102:9999,江西省九江市  联通,1秒
HTTP://183.195.106.118:8118,上海市上海市  移动,2秒
HTTP://163.204.244.151:9999,广东省汕尾市  联通,2秒
HTTP://110.243.17.181:9999,河北省唐山市  联通,1秒
HTTP://180.104.63.55:9000,江苏省徐州市  电信,3秒
HTTP://125.108.116.63:9000,浙江省温州市  电信,2秒
HTTP://110.243.3.218:9999,河北省唐山市  联通,1秒
HTTP://125.110.66.86:9000,浙江省温州市  电信,3秒
HTTP://117.90.137.131:9000,中国 江苏省 镇江市 电信,1秒
HTTP://106.42.217.45:9999,河南省商丘市  电信,1秒
HTTP://118.113.247.152:9999,四川省成都市  电信,3秒
HTTP://222.184.7.206:44536,江苏省淮安市  电信,2秒
HTTP://171.13.201.192:9999,河南省鹤壁市  电信,1秒
HTTP://223.244.45.134:65309,安徽省蚌埠市  电信,0.4秒
HTTP://175.42.68.11:9999,福建省宁德市  联通,3秒
HTTP://60.216.101.46:32868,山东省济南市  联通,3秒
HTTP://182.35.80.79:9999,山东省泰安市  电信,0.6秒
HTTP://1.198.72.178:9999,河南省济源市  电信,0.6秒
HTTP://183.166.71.249:9999,安徽省淮南市  电信,2秒
HTTP://116.113.27.170:50035,内蒙古自治区呼和浩特市  联通,0.5秒
HTTP://110.243.1.130:9999,河北省唐山市  联通,0.6秒
HTTP://121.232.148.134:9000,中国 江苏省 镇江市 电信,3秒
HTTP://120.83.120.241:9999,广东省揭阳市  联通,3秒
HTTP://60.217.133.191:8060,山东省威海市  联通,1秒
HTTP://1.193.244.225:9999,河南省鹤壁市  电信,1秒
HTTP://118.113.244.29:9999,四川省成都市  电信,2秒
HTTP://49.234.46.87:8888,上海市上海市  腾讯云,2秒
HTTP://58.211.134.98:38480,江苏省苏州市  电信,2秒
HTTP://121.232.148.165:9000,中国 江苏省 镇江市 电信,0.6秒
HTTP://182.46.87.117:9999,山东省淄博市  电信,2秒
HTTP://163.204.242.10:9999,广东省汕尾市  联通,1秒
HTTP://47.94.89.87:3128,北京市北京市  阿里云,0.8秒
HTTP://218.75.102.198:8000,浙江省金华市  电信,0.6秒
HTTP://163.204.241.100:9999,广东省汕尾市  联通,2秒
HTTP://122.5.190.206:9999,山东省德州市  电信,2秒
HTTP://113.208.115.190:8118,北京市朝阳区 北京商务中心区通信科技有限公司 电信,1秒
HTTP://58.18.133.101:56210,内蒙古自治区赤峰市  联通,3秒
HTTP://182.35.84.199:9999,山东省泰安市  电信,2秒
HTTP://36.7.69.56:8060,安徽省合肥市  电信,1秒
HTTP://113.195.22.70:9999,江西省九江市  联通,3秒
HTTP://114.239.150.104:9999,江苏省宿迁市  电信,0.7秒
HTTP://58.211.134.98:38480,江苏省苏州市  电信,1秒
HTTP://125.108.87.93:9000,浙江省温州市  电信,0.6秒
HTTP://175.42.68.246:9999,福建省宁德市  联通,1秒
HTTP://115.218.209.247:9000,浙江省温州市  电信,1秒
HTTP://110.243.5.130:9999,河北省唐山市  联通,3秒
HTTP://125.108.103.218:9000,浙江省温州市  电信,0.3秒
HTTP://36.248.129.236:9999,福建省宁德市  联通,1秒
HTTP://182.35.82.58:9999,山东省泰安市  电信,1秒
HTTP://117.88.177.3:3000,江苏省南京市  电信,1秒
HTTP://175.43.35.5:9999,福建省泉州市  联通,3秒
HTTP://118.112.195.179:9999,四川省成都市  电信,3秒
HTTP://223.242.224.49:9999,安徽省淮南市  电信,1秒
HTTP://123.101.237.97:9999,河南省商丘市  电信,1秒
HTTP://182.35.87.56:9999,山东省泰安市  电信,2秒
HTTP://124.65.136.2:8060,北京市北京市  联通,2秒
HTTP://171.13.201.232:9999,河南省鹤壁市  电信,0.5秒
HTTP://123.169.169.19:9999,山东省德州市  电信,1.0秒
HTTP://182.35.81.160:9999,山东省泰安市  电信,1秒
HTTP://125.108.121.183:9000,浙江省温州市  电信,3秒
HTTP://121.232.194.193:9000,江苏省镇江市  电信,3秒
HTTP://221.218.102.146:35110,北京市朝阳区  联通,1秒
HTTP://125.108.100.253:9000,浙江省温州市  电信,0.7秒
HTTP://218.64.148.228:9000,江西省萍乡市  电信,0.5秒
HTTP://125.108.124.75:9000,浙江省温州市  电信,3秒
HTTP://123.57.84.116:8118,中国 北京市 北京市 阿里云,2秒
HTTP://110.243.8.196:9999,河北省唐山市  联通,3秒
HTTP://182.149.83.148:9999,四川省成都市  电信,2秒
HTTP://103.39.214.69:8118,广东省深圳市  电信,2秒
HTTP://121.232.199.126:9000,江苏省镇江市  电信,3秒
HTTP://125.108.102.207:9000,浙江省温州市  电信,3秒
HTTP://112.111.217.111:9999,福建省宁德市  联通,3秒
HTTP://113.195.21.126:9999,江西省九江市  联通,2秒
HTTP://171.15.51.133:9999,河南省鹤壁市  电信,3秒
HTTP://221.2.175.238:8060,中国 山东 威海 联通,2秒
HTTP://113.121.39.150:9999,山东省烟台市  电信,1秒
HTTP://120.83.104.15:9999,广东省揭阳市  联通,2秒
HTTP://222.89.32.131:9999,河南省济源市  电信,2秒
HTTP://125.110.75.250:9000,浙江省温州市  电信,3秒
HTTP://116.196.87.86:20183,北京市北京市 京东云 BGP多线,3秒
HTTP://113.194.29.19:9999,江西省新余市  联通,1秒
HTTP://113.195.19.111:9999,江西省九江市  联通,2秒
HTTP://175.43.57.15:9999,福建省泉州市  联通,0.5秒
HTTP://171.13.202.155:9999,河南省鹤壁市  电信,1秒
HTTP://182.35.83.48:9999,山东省泰安市  电信,2秒
HTTP://117.69.12.252:9999,安徽省淮南市  电信,2秒
HTTP://119.178.223.3:9000,山东省菏泽市  联通,2秒
HTTP://125.108.84.139:9000,浙江省温州市  电信,3秒
HTTP://125.110.107.227:9000,浙江省温州市  电信,1秒
HTTP://163.204.245.104:9999,广东省汕尾市  联通,3秒
HTTP://123.169.160.78:9999,山东省德州市  电信,1秒
HTTP://1.198.72.172:9999,河南省济源市  电信,2秒
HTTP://183.195.106.118:8118,上海市上海市  移动,2秒
HTTP://125.108.123.172:9000,浙江省温州市  电信,1秒
HTTP://120.234.138.102:53779,广东省东莞市  移动,2秒
HTTP://113.194.30.42:9999,江西省新余市  联通,0.7秒
HTTP://1.193.247.64:9999,河南省鹤壁市  电信,0.4秒
HTTP://117.91.130.181:9999,江苏省扬州市  电信,3秒
HTTP://123.169.166.120:9999,山东省德州市  电信,1秒
HTTP://183.64.178.39:8060,重庆市重庆市  电信,1秒
HTTP://222.85.28.130:52590,河南省许昌市  电信,2秒
HTTP://183.166.111.94:9999,安徽省淮南市  电信,0.6秒
HTTP://113.110.44.242:9999,广东省揭阳市  电信,2秒
HTTP://222.189.144.115:9999,江苏省扬州市  电信,3秒
HTTP://182.46.98.167:9999,山东省淄博市  电信,0.7秒
HTTP://171.35.163.114:9999,江西省宜春市  联通,3秒
