nid,pid,title,raw_title,detail_url,view_price,view_fee,item_loc,view_sales,comment_count,user_id,nick
611099431467,,【至高减280元】华为HONOR 荣耀20PRO全面屏手机正品30倍数字变焦,【至高减280元】华为HONOR 荣耀20PRO全面屏手机正品30倍数字变焦,//detail.tmall.com/item.htm?id\u003d611099431467\u0026ns\u003d1\u0026abbucket\u003d13,2499.00,5.00,上海,1812人付款,786,725677994,天猫超市
615344708443,,华为荣耀Play4T Pro手机新品麒麟810芯片4tpro全网通9学生x智能机,华为荣耀Play4T Pro手机新品麒麟810芯片4tpro全网通9学生x智能机,//detail.tmall.com/item.htm?id\u003d615344708443\u0026ns\u003d1\u0026abbucket\u003d13,1499.00,5.00,上海,313人付款,29,725677994,天猫超市
614581381600,,Huawei/华为P40 5G版手机全网通官方正品p40 5g手机麒麟990,Huawei/华为P40 5G版手机全网通官方正品p40 5g手机麒麟990,//detail.tmall.com/item.htm?id\u003d614581381600\u0026ns\u003d1\u0026abbucket\u003d13,4188.00,5.00,上海,144人付款,7,725677994,天猫超市
610797686296,,【顺丰现货急速发】Apple/苹果 iPhone 11 手机现货国行 全国联保,【顺丰现货急速发】Apple/苹果 iPhone 11 手机现货国行 全国联保,//detail.tmall.com/item.htm?id\u003d610797686296\u0026ns\u003d1\u0026abbucket\u003d13,5242.00,5.00,上海,758人付款,298,725677994,天猫超市
611467146894,,【23日享24期免息 现货速发】小米10Pro5g手机骁龙865处理器5G手机学生拍照小米官方旗舰店官网正品小米10,【23日享24期免息 现货速发】小米10Pro5g手机骁龙865处理器5G手机学生拍照小米官方旗舰店官网正品小米10,//detail.tmall.com/item.htm?id\u003d611467146894\u0026ns\u003d1\u0026abbucket\u003d13,4999.00,0.00,北京,1.0万+人付款,8917,1714128138,小米官方旗舰店
608552505877,,【首降至高500 再赠耳机】vivo X30 Pro双模5G新品60倍超级变焦手机官方旗舰店官网新款限量版x30Pro s6 x27,【首降至高500 再赠耳机】vivo X30 Pro双模5G新品60倍超级变焦手机官方旗舰店官网新款限量版x30Pro s6 x27,//detail.tmall.com/item.htm?id\u003d608552505877\u0026ns\u003d1\u0026abbucket\u003d13,3998.00,0.00,广东 东莞,542人付款,2014,883737303,vivo官方旗舰店
605258110430,,【3期免息 再减500元】Apple/苹果 iPhone 11 移动联通电信4G全网通智能手机正品苏宁易购官方旗舰店苹果11,【3期免息 再减500元】Apple/苹果 iPhone 11 移动联通电信4G全网通智能手机正品苏宁易购官方旗舰店苹果11,//detail.tmall.com/item.htm?id\u003d605258110430\u0026ns\u003d1\u0026abbucket\u003d13,5499.00,0.00,江苏 南京,3.0万+人付款,21949,2616970884,苏宁易购官方旗舰店
609229367936,,优惠800当天发24期免息Huawei/华为nova 6 5G/4G官方旗舰店正品新nova6pro手机全网通p40荣耀p30直降nova7,优惠800当天发24期免息Huawei/华为nova 6 5G/4G官方旗舰店正品新nova6pro手机5g全网通p40荣耀p30直降nova7,//detail.tmall.com/item.htm?id\u003d609229367936\u0026ns\u003d1\u0026abbucket\u003d13,2999.00,0.00,广东 深圳,636人付款,784,1800399917,同步飞扬数码专营店
612634252693,,【24期免息+赠99元耳机】红米k30pro 骁龙865索尼6400万智能游戏学生5g手机小米官方旗舰店正品xiaomi,【24期免息+赠99元耳机】红米k30pro 骁龙865索尼6400万智能游戏学生5g手机redmi小米官方旗舰店正品xiaomi,//detail.tmall.com/item.htm?id\u003d612634252693\u0026ns\u003d1\u0026abbucket\u003d13,2999.00,0.00,北京,2.0万+人付款,6904,1714128138,小米官方旗舰店
615406803750,,【新品享24期免息 多重好礼】OPPO Ace2 高通骁龙865 双模5G全网通 65W超闪 全面屏游戏智能手机,【新品享24期免息 多重好礼】OPPO Ace2 高通骁龙865 双模5G全网通 65W超闪 全面屏游戏智能手机oppoace2,//detail.tmall.com/item.htm?id\u003d615406803750\u0026ns\u003d1\u0026abbucket\u003d13,3999.00,0.00,广东 东莞,3555人付款,52,901409638,oppo官方旗舰店
614162450908,,新品【现货选送手环】华为HONOR荣耀30S新品5G手机全网通官方旗舰店新款20s降价正品20青春版官网华为荣耀30s,新品【现货选送手环】华为HONOR荣耀30S新品5G手机全网通官方旗舰店新款20s降价正品20青春版官网华为荣耀30s,//detail.tmall.com/item.htm?id\u003d614162450908\u0026ns\u003d1\u0026abbucket\u003d13,2399.00,0.00,广东 深圳,1637人付款,314,2024314280,广东电信亿品汇专卖店
614162414478,,当天发货【选碎屏险】华为honor/荣耀 荣耀30S 新款5G手机官方旗舰店正品智能v30pro上市20i降价9x直降20青春,当天发货【选碎屏险】华为honor/荣耀 荣耀30S 新款5G手机官方旗舰店正品智能v30pro上市20i降价9x直降20青春,//detail.tmall.com/item.htm?id\u003d614162414478\u0026ns\u003d1\u0026abbucket\u003d13,2399.00,0.00,安徽 合肥,1101人付款,201,2088045547,京合旗舰店
605168729435,,【24期免息】Apple/苹果 iPhone 11 Pro MAX 2019新品 全网通手机苹果11promax 拍照智能手机,【24期免息】Apple/苹果 iPhone 11 Pro MAX 2019新品 全网通手机 苹果11promax 拍照智能手机,//detail.tmall.com/item.htm?id\u003d605168729435\u0026ns\u003d1\u0026abbucket\u003d13,8599.00,0.00,浙江 杭州,511人付款,895,197232874,绿森数码官方旗舰店
613608328649,,【新品当天发货送手环】华为HONOR荣耀30S 5g版手机全网通官方旗舰店20s手机新品上市30pro华为荣耀30s官网9x,【新品当天发货送手环】华为HONOR荣耀30S 5g版手机全网通官方旗舰店20s手机新品上市30pro华为荣耀30s官网9x,//detail.tmall.com/item.htm?id\u003d613608328649\u0026ns\u003d1\u0026abbucket\u003d13,2399.00,0.00,山东 济南,1198人付款,224,268451883,三际数码官方旗舰店
613379333800,,【24期免息】Apple/苹果iPhone 11 2019新款苹果11 新品iphone11 apple智能拍照手机,【24期免息】Apple/苹果iPhone 11 2019新款苹果11 新品iphone11 apple智能拍照手机,//detail.tmall.com/item.htm?id\u003d613379333800\u0026ns\u003d1\u0026abbucket\u003d13,5299.00,0.00,浙江 杭州,5000+人付款,1466,197232874,绿森数码官方旗舰店
603070922282,,【4.23至高优惠200元 晒单赠礼】OPPO K5全面屏6400万四摄4G拍照游戏智能手机官方旗舰店正品oppok5,【4.23至高优惠200元 晒单赠礼】OPPO K5全面屏6400万四摄4G拍照游戏智能手机官方旗舰店正品oppok5,//detail.tmall.com/item.htm?id\u003d603070922282\u0026ns\u003d1\u0026abbucket\u003d13,1699.00,0.00,广东 东莞,9000+人付款,34282,901409638,oppo官方旗舰店
612769124709,,Apple/苹果 iPhone 8 Plus 苹果x 8p手机苹果XR XSMax,Apple/苹果 iPhone 8 Plus 苹果x 8p手机 iphone x 苹果XR XSMax,//item.taobao.com/item.htm?id\u003d612769124709\u0026ns\u003d1\u0026abbucket\u003d13#detail,1900.00,0.00,广东 深圳,7500+人付款,2592,723987011,红嘴燕睡衣世界
616320822727,,分期Apple/苹果 iPhone XR iphone苹果xr iphonexr 手机,分期Apple/苹果 iPhone XR iphone苹果xr iphonexr 手机8x xs max,//item.taobao.com/item.htm?id\u003d616320822727\u0026ns\u003d1\u0026abbucket\u003d13#detail,2000.00,0.00,广东 深圳,317人付款,,464458035,亦儿手机店
602449029784,,【中国移动官旗】iphone苹果11 Apple/iphone11苹果手机全网通国行 原装手机苹果正品iPhone SE,【中国移动官旗】iphone苹果11 Apple/iphone11苹果手机全网通国行 原装手机苹果正品iPhone SE,//detail.tmall.com/item.htm?id\u003d602449029784\u0026ns\u003d1\u0026abbucket\u003d13,4959.00,0.00,浙江 杭州,1267人付款,3590,1776456424,中国移动官方旗舰店
613011338138,,【至高省400】vivo iQOO Neo 855高通骁龙855处理器游戏手机官方vivoiqooneo iqooneo vivo新iqoo 限量版,【至高省400】vivo iQOO Neo 855高通骁龙855处理器游戏手机官方vivoiqooneo iqooneo vivo新iqoo 限量版,//detail.tmall.com/item.htm?id\u003d613011338138\u0026ns\u003d1\u0026abbucket\u003d13,2298.00,0.00,广东 东莞,3092人付款,1185,2207440821122,iqoo官方旗舰店
614973902532,,新品当天发6期免息送天猫精灵/华为HONOR 荣耀30手机双模全网通官方旗舰店荣耀手机上市30pro+,新品当天发6期免息送天猫精灵/华为HONOR 荣耀30手机5g双模全网通官方旗舰店荣耀手机v30pro 9xpor上市30pro+,//detail.tmall.com/item.htm?id\u003d614973902532\u0026ns\u003d1\u0026abbucket\u003d13,2999.00,0.00,山东 济南,28人付款,,268451883,三际数码官方旗舰店
613010694711,,【至高省1000】vivo iQOO Pro 5G高通骁龙855Plus处理器游戏新品手机官方iqoopro vivoiqoovivo新iqoo限量版,【至高省1000】vivo iQOO Pro 5G高通骁龙855Plus处理器游戏新品手机官方iqoopro vivoiqoovivo新iqoo限量版,//detail.tmall.com/item.htm?id\u003d613010694711\u0026ns\u003d1\u0026abbucket\u003d13,3298.00,0.00,广东 东莞,631人付款,226,2207440821122,iqoo官方旗舰店
613666304585,,【送天猫精灵+现货速发】华为HONOR荣耀30S麒麟820全网通官方旗舰店正品荣耀20s 9x pro 华为30S新品5G手机,【送天猫精灵+现货速发】华为HONOR荣耀30S麒麟820全网通官方旗舰店正品荣耀20s 9x pro 华为30S新品5G手机,//detail.tmall.com/item.htm?id\u003d613666304585\u0026ns\u003d1\u0026abbucket\u003d13,2399.00,0.00,浙江 杭州,366人付款,58,1115488308,君问数码官方旗舰店
604064355373,,Apple/苹果 iPhone X 苹果x 苹果8手机苹果XR XSMax,Apple/苹果 iPhone X 苹果x 苹果8手机 iphone8Plus 苹果XR XSMax,//item.taobao.com/item.htm?id\u003d604064355373\u0026ns\u003d1\u0026abbucket\u003d13#detail,3250.00,0.00,广东 深圳,1.0万+人付款,9568,43546305,因尔科技
613480362477,,【百亿补贴 仅限23号当天】Apple/苹果iPhone 11手机全网通4G原装苹果11X国行pro天翼电信官方旗舰店xr xsmax,【百亿补贴 仅限23号当天】Apple/苹果iPhone 11手机全网通4G原装苹果11X国行pro天翼电信官方旗舰店xr xsmax,//detail.tmall.com/item.htm?id\u003d613480362477\u0026ns\u003d1\u0026abbucket\u003d13,4999.00,0.00,江苏 南京,4138人付款,1764,751075004,翼天下天翼电信旗舰店
606499802160,,Apple/苹果 iPhone 8 Plus苹果8代 iPhone 8plus国行8P全网通手机,Apple/苹果 iPhone 8 Plus苹果8代 iPhone 8plus国行8P全网通手机,//item.taobao.com/item.htm?id\u003d606499802160\u0026ns\u003d1\u0026abbucket\u003d13#detail,2000.00,0.00,广东 深圳,3688人付款,1003,832738224,卡尔琼斯
596753542423,,【领劵减100】Huawei/华为 nova 5 Pro手机官方旗舰店5g官网nova6se直降p40pro正品mate30荣耀nova7学生手机,【领劵减100】Huawei/华为 nova 5 Pro手机官方旗舰店5g官网nova6se直降p40pro正品mate30荣耀nova7学生手机,//detail.tmall.com/item.htm?id\u003d596753542423\u0026ns\u003d1\u0026abbucket\u003d13,2499.00,0.00,安徽 合肥,3401人付款,13373,2088045547,京合旗舰店
612827208421,,IPHONE特别版美版手机苹果全新128X国行256g原装正品,IPHONE特别版美版手机8sx8 Plus 8P苹果全新128X国行256g原装正品,//item.taobao.com/item.htm?id\u003d612827208421\u0026ns\u003d1\u0026abbucket\u003d13#detail,1730.00,0.00,广东 深圳,6000+人付款,6228,68682830,乡间孤马
616169877989,,【3期免息/现货预售】iPhonese2 苹果se2 Apple/iPhonese二代苹果手机/中国移动官旗/二代苹果se预售,【3期免息/现货预售】iPhonese2 苹果se2 Apple/iPhonese二代苹果手机/中国移动官旗/二代苹果se预售,//detail.tmall.com/item.htm?id\u003d616169877989\u0026ns\u003d1\u0026abbucket\u003d13,3299.00,0.00,浙江 杭州,213人付款,,1776456424,中国移动官方旗舰店
615826395625,,【12期分期套餐任选】华为旗下荣耀30S麒麟820双模5G全网通学生上网手机荣耀官方旗舰店荣耀v30手机,【12期分期套餐任选】华为旗下荣耀30S麒麟820双模5G全网通学生上网手机荣耀官方旗舰店荣耀v30手机v30pro 5g,//detail.tmall.com/item.htm?id\u003d615826395625\u0026ns\u003d1\u0026abbucket\u003d13,2399.00,0.00,广东 深圳,143人付款,6,2206603022178,中电嘉信数码专营店
616668699384,,【赠Beats耳机】Apple/苹果#iPhone SE2 新品iPhone9 苹果9正品4G全网通手机中国电信官方旗舰店 新品se发布,【赠Beats耳机】Apple/苹果#iPhone SE2 新品iPhone9 苹果9正品4G全网通手机 中国电信官方旗舰店 新品se发布,//detail.tmall.com/item.htm?id\u003d616668699384\u0026ns\u003d1\u0026abbucket\u003d13,3299.00,0.00,北京,97人付款,,809107100,中国电信官方旗舰店
614253718334,,24期免息 新品vivo S6 5G智能手机全网通官网vivos6全新款s6s版x30por vivox27 s5 vovis6官方旗舰店vivo0s6,24期免息 新品vivo S6 5G智能手机全网通官网vivos6全新款s6s版x30por vivox27 s5 vovis6官方旗舰店vivo0s6,//detail.tmall.com/item.htm?id\u003d614253718334\u0026ns\u003d1\u0026abbucket\u003d13,2698.00,0.00,上海,428人付款,104,2074230553,vivo衡视专卖店
614190738742,,【新品上市+送好礼】 华为旗下荣耀30S双模全网通5G手机麒麟820拍照官网正品手机新款官方旗舰店荣耀v30pro,【新品上市+送好礼】 华为旗下荣耀30S双模全网通5G手机麒麟820拍照官网正品手机新款官方旗舰店荣耀v30pro,//detail.tmall.com/item.htm?id\u003d614190738742\u0026ns\u003d1\u0026abbucket\u003d13,2399.00,0.00,广东 深圳,1016人付款,181,2215302589,深蓝港数码旗舰店
614793121415,,一加 OnePlus 8 5G旗舰 90Hz柔性屏 骁龙865 180g轻薄手感 超清超广角拍照游戏手机一加官方旗舰店,一加 OnePlus 8 5G旗舰 90Hz柔性屏 骁龙865 180g轻薄手感 超清超广角拍照游戏手机 一加官方旗舰店,//detail.tmall.com/item.htm?id\u003d614793121415\u0026ns\u003d1\u0026abbucket\u003d13,3999.00,0.00,广东 深圳,2945人付款,205,2256022143,一加官方旗舰店
615095973583,,新品【现货送手环】华为HONOR荣耀Play4T Pro手机麒麟810官方旗舰店play3学生游戏官网正品华为荣耀play4tpro,新品【现货送手环】华为HONOR荣耀Play4T Pro手机麒麟810官方旗舰店play3学生游戏官网正品华为荣耀play4tpro,//detail.tmall.com/item.htm?id\u003d615095973583\u0026ns\u003d1\u0026abbucket\u003d13,1499.00,0.00,广东 深圳,537人付款,60,2024314280,广东电信亿品汇专卖店
612147563392,,Apple/苹果 iPhone 11 苹果11promax国行美版全网通新款手机现货,Apple/苹果 iPhone 11 苹果11promax国行美版全网通新款手机现货,//item.taobao.com/item.htm?id\u003d612147563392\u0026ns\u003d1\u0026abbucket\u003d13#detail,3588.00,0.00,上海,2714人付款,1000,2663704272,sayhay自营店
609317899740,,24期免息 vivo X30 5G全网通手机官网vivox30新款x31vivox27版vovix30por官方旗舰店x30pro z6 vivox305g x27,24期免息 vivo X30 5G全网通手机官网vivox30新款x31vivox27版vovix30por官方旗舰店x30pro z6 vivox305g x27,//detail.tmall.com/item.htm?id\u003d609317899740\u0026ns\u003d1\u0026abbucket\u003d13,3298.00,0.00,上海,1308人付款,1975,2074230553,vivo衡视专卖店
614587058264,,【24期分期】华为/HUAWEI P40 Pro | 5G手机版正品官方旗舰店P30直降mate40折叠x新款,【24期分期】华为/HUAWEI P40 Pro | 5G手机mate30pro5G版正品官方旗舰店P30直降mate40折叠x新款,//detail.tmall.com/item.htm?id\u003d614587058264\u0026ns\u003d1\u0026abbucket\u003d13,5988.00,0.00,广东 广州,271人付款,11,713805254,中国移动手机官方旗舰店
571605208579,,[4G全网通]纽曼 L8S军工三防老人机超长待机正品老年手机大屏大字大声音移动电信版联通女学生按键诺基亚手机,[4G全网通]纽曼 L8S军工三防老人机,https://click.simba.taobao.com/cc_im?p\u003d%CA%D6%BB%FA\u0026s\u003d1192725323\u0026k\u003d513\u0026e\u003dq3urWDPfo5KDRn1rZangeuvQwm9NBrn34pBEeki%2FBhpg6NFol8ihNpKYfbVUne0V7PnKikqUUZgumDNACquIlX4AvuwzfQx40ytqMuSmzSCe0wyfeqkW3S5sVXb%2ByXn%2FohBo%2FzilEpeRuurVHhzpPX0qbn0gwIfnX%2BCcK41QetPWQ8r99LWRWxgscL2ftr%2FwfXnB7ZMhX7JDPQFGFZlGKoMyp%2B5I2LGU3I1Lt8XG3p5sjG9q3QjMGicggOHMSaI%2FxGfX%2F%2FonC3wxIJFeKL3YnjpNLZl9kahHHVH4C8NonBU52VG3cKtd1QTNxBh%2FR7gtcje%2B1Z5hzvMpEV%2Fq2FYyea9bcRQLQM0c7vXfFv9g7KqY20Pc8jZ90H%2FUqwNPnFX4TAMhVq8U8PJ3DT1kNWbvtKn11MTFWzcawMVDQoDyFe9EGLX0wb5jTcRn1%2F%2F6Jwt8jjyqKOg%2FpC2eW66zIRlTDuHEhwCO8dkik2m2v15p9oCA8QBWbfGerlcneyUsCpuN,58.00,0.00,广东 深圳,9500+人付款,,1875287427,深圳易乐购数码专营店
606547898634,,【尊享3期免息】meizu/魅族16T骁龙855大屏旗舰6.5英寸全面屏4500mAh长续航颜值游戏手机官方旗舰店,【尊享3期免息】meizu/魅族16T骁龙855大屏旗舰6.5英寸全面屏4500mAh长续航颜值游戏手机官方旗舰店,//detail.tmall.com/item.htm?id\u003d606547898634\u0026ns\u003d1\u0026abbucket\u003d13,2299.00,0.00,广东 珠海,3810人付款,11524,1695308781,魅族官方旗舰店
615095973583,,新品【现货送手环】华为HONOR荣耀Play4T Pro手机麒麟810官方旗舰店play3学生游戏官网正品华为荣耀play4tpro,新品【现货送手环】华为HONOR荣耀Play4T Pro手机麒麟810官方旗舰店play3学生游戏官网正品华为荣耀play4tpro,//detail.tmall.com/item.htm?id\u003d615095973583\u0026ns\u003d1\u0026abbucket\u003d13,1499.00,0.00,广东 深圳,537人付款,60,2024314280,广东电信亿品汇专卖店
612147563392,,Apple/苹果 iPhone 11 苹果11promax国行美版全网通新款手机现货,Apple/苹果 iPhone 11 苹果11promax国行美版全网通新款手机现货,//item.taobao.com/item.htm?id\u003d612147563392\u0026ns\u003d1\u0026abbucket\u003d13#detail,3588.00,0.00,上海,2714人付款,1000,2663704272,sayhay自营店
616168745943,,【享3期免息/现货预售】iPhone SE苹果se2 iphonese2全新品手机二代新款 苹果手机官网旗舰正品iphone 8 11,【享3期免息/现货预售】iPhone SE苹果se2 iphonese2全新品手机二代新款 苹果手机官网旗舰正品iphone 8 11,//detail.tmall.com/item.htm?id\u003d616168745943\u0026ns\u003d1\u0026abbucket\u003d13,3449.00,0.00,广东 广州,226人付款,,713805254,中国移动手机官方旗舰店
613623160990,,【现货速发/选荣耀手环】华为honor/荣耀 荣耀30S手机双模全网通官方旗舰正品官网20s直降9x青春版30/30pro,【现货速发/选荣耀手环】华为honor/荣耀 荣耀30S手机5G双模全网通官方旗舰正品官网20s直降9x青春版30/30pro,//detail.tmall.com/item.htm?id\u003d613623160990\u0026ns\u003d1\u0026abbucket\u003d13,2399.00,0.00,上海,668人付款,108,686947088,卓瓦数码专营店
614252200250,,华为P40 5G现货 HUAWEI HUAWEI P40PRO+5G麒麟990手机,华为P40 5G现货 HUAWEI HUAWEI P40PRO+5G麒麟990手机P40 p40pro,//item.taobao.com/item.htm?id\u003d614252200250\u0026ns\u003d1\u0026abbucket\u003d13#detail,3998.00,0.00,山东 济南,36人付款,9,2853096896,雷鹏数码科技
613778475522,,Apple/苹果 iPhone X 苹果X 苹果8手机苹果XR  XSMax,Apple/苹果 iPhone X 苹果X 苹果8手机iphone8Plus 苹果XR  XSMax,//item.taobao.com/item.htm?id\u003d613778475522\u0026ns\u003d1\u0026abbucket\u003d13#detail,2050.00,0.00,广东 深圳,1342人付款,724,2210296364,韩mm网络批发
594220295402,,Apple/苹果 iPhone 8 Plus全新苹果8正品8x国行三网苹果8plus手机,Apple/苹果 iPhone 8 Plus全新苹果8正品8x国行三网苹果8plus手机,//item.taobao.com/item.htm?id\u003d594220295402\u0026ns\u003d1\u0026abbucket\u003d13#detail,2160.00,0.00,广东 深圳,9500+人付款,6768,1849025205,唯美气质淑女日韩馆
603426867707,,华为HUAWEI HUAWEI Mate 30 Pro5G曲面屏手机全网通P40,华为HUAWEI HUAWEI Mate 30 Pro5G曲面屏手机 MATE30 5G全网通P40,//item.taobao.com/item.htm?id\u003d603426867707\u0026ns\u003d1\u0026abbucket\u003d13#detail,3148.00,0.00,浙江 杭州,57人付款,287,135241859,博远通讯88
613757125454,,【荣耀新品】华为旗下荣耀30S麒麟820双模5G全网通3倍光学变焦拍照上网手机荣耀官方,【荣耀新品】华为旗下荣耀30S麒麟820双模5G全网通3倍光学变焦拍照上网手机荣耀官方,//detail.tmall.com/item.htm?id\u003d613757125454\u0026ns\u003d1\u0026abbucket\u003d13,2399.00,0.00,广东 深圳,3.5万+人付款,11323,1114511827,荣耀官方旗舰店
615032671252,,【享12期免息】华为旗下荣耀30新品5G手机倍超稳远摄麒麟985芯片李现同款拍照手机官方旗舰店正品,【享12期免息】华为旗下荣耀30新品5G手机50倍超稳远摄麒麟985芯片李现同款拍照手机官方旗舰店正品,//detail.tmall.com/item.htm?id\u003d615032671252\u0026ns\u003d1\u0026abbucket\u003d13,2999.00,0.00,广东 深圳,7500+人付款,,1114511827,荣耀官方旗舰店
596201072920,,【100优惠券】Huawei/华为nova 5 Pro超级夜景四摄超广角智能手机官方旗舰店,【100优惠券】Huawei/华为nova 5 Pro超级夜景四摄超广角智能手机nova5pro官方旗舰店,//detail.tmall.com/item.htm?id\u003d596201072920\u0026ns\u003d1\u0026abbucket\u003d13,2499.00,0.00,广东 深圳,2.0万+人付款,94662,2838892713,华为官方旗舰店
613832301513,,【旗舰新品6期免息】华为/HUAWEI P40 | 5G超感知徕卡三摄30倍数字变焦5g手机华为官方旗舰店,【旗舰新品6期免息】华为/HUAWEI P40 | 5G超感知徕卡三摄30倍数字变焦5g手机华为官方旗舰店,//detail.tmall.com/item.htm?id\u003d613832301513\u0026ns\u003d1\u0026abbucket\u003d13,4188.00,0.00,广东 深圳,2.0万+人付款,3916,2838892713,华为官方旗舰店
610535848214,,【周年庆优惠】HUAWEI华为Mate 30 Pro 5G版手机麒麟990mate5g,【周年庆优惠】HUAWEI华为Mate 30 Pro 5G版手机麒麟990mate5g,//detail.tmall.com/item.htm?id\u003d610535848214\u0026ns\u003d1\u0026abbucket\u003d13,5899.00,5.00,上海,270人付款,54,725677994,天猫超市
